wavelength_nm,energy_ev,eps1_perp,eps2_perp,eps1_para,eps2_para,redchi,nfev,success
690,1.7968724,14.580577,3.8230061,14.62879,3.6416024,2.9507438e-05,10,False
691,1.794272,14.578073,3.8043756,14.624649,3.6205685,3.1622313e-05,10,False
692,1.7916792,14.570816,3.7859678,14.614211,3.5990199,2.9405926e-05,10,False
693,1.7890938,14.563853,3.7696052,14.61059,3.5812818,2.7543968e-05,10,False
694,1.7865158,14.558891,3.7517328,14.606183,3.5657232,3.0857671e-05,10,False
695,1.7839453,14.555663,3.7312512,14.591465,3.5496183,3.2431248e-05,10,False
696,1.7813822,14.547995,3.7119641,14.584023,3.5345338,3.0152846e-05,10,False
697,1.7788264,14.537894,3.6938192,14.579867,3.510146,3.0518885e-05,10,False
698,1.7762779,14.534789,3.6741655,14.569041,3.4929804,3.2947556e-05,10,False
699,1.7737367,14.527578,3.6578759,14.56065,3.4769173,3.2546748e-05,10,False
700,1.7712028,14.519131,3.640131,14.55449,3.4594982,3.3005792e-05,10,False
701,1.7686762,14.511142,3.6239161,14.546663,3.4436162,3.7112375e-05,10,False
702,1.7661567,14.504976,3.6042794,14.529295,3.4278065,3.0615659e-05,10,False
703,1.7636444,14.495492,3.5877084,14.524402,3.4043375,3.0682145e-05,10,False
704,1.7611392,14.484509,3.5719336,14.521621,3.3843699,3.293165e-05,10,False
705,1.7586411,14.479777,3.5473586,14.504662,3.3780862,3.096618e-05,10,False
706,1.7561501,14.470399,3.5324213,14.493456,3.363045,3.3678668e-05,10,False
707,1.7536662,14.461948,3.5156544,14.485296,3.344955,3.237999e-05,10,False
708,1.7511892,14.452972,3.4983862,14.480673,3.3265615,3.3980171e-05,10,False
709,1.7487193,14.445624,3.4837798,14.467467,3.3094803,3.3554203e-05,10,False
710,1.7462563,14.435212,3.4646035,14.455972,3.2937783,3.0007081e-05,10,False
711,1.7438003,14.427085,3.4481068,14.444853,3.2743341,3.2208156e-05,10,False
712,1.7413511,14.417883,3.4331102,14.431274,3.2573454,3.0897497e-05,10,False
713,1.7389088,14.407986,3.417121,14.419537,3.2433113,3.3189411e-05,10,False
714,1.7364734,14.399005,3.3979566,14.413636,3.2280443,3.5676873e-05,10,False
715,1.7340447,14.388577,3.3788657,14.399289,3.216449,3.3909492e-05,10,False
716,1.7316229,14.376068,3.3654095,14.390849,3.2011702,3.3087301e-05,10,False
717,1.7292078,14.364083,3.3544917,14.380191,3.1793251,3.6513466e-05,10,False
718,1.7267994,14.351782,3.3373744,14.36661,3.1638439,3.5887313e-05,10,False
719,1.7243978,14.341838,3.3212416,14.356668,3.1456327,3.608048e-05,10,False
720,1.7220028,14.329548,3.3036869,14.341342,3.1318471,3.768053e-05,10,False
721,1.7196144,14.315954,3.2860745,14.327033,3.1193901,3.0651087e-05,10,False
722,1.7172327,14.303848,3.2734595,14.311136,3.1045224,2.8818634e-05,10,False
723,1.7148575,14.290904,3.2568793,14.296609,3.0915543,3.742979e-05,10,False
724,1.7124889,14.278627,3.2451111,14.283273,3.0752098,3.6070305e-05,10,False
725,1.7101269,14.266361,3.2309531,14.267056,3.0671453,3.4699103e-05,10,False
726,1.7077713,14.249671,3.2180148,14.256603,3.0550729,3.5870382e-05,10,False
727,1.7054223,14.238257,3.2028745,14.23665,3.0391957,4.0673284e-05,10,False
728,1.7030796,14.222888,3.1911286,14.219686,3.0319518,4.2973077e-05,10,False
729,1.7007435,14.208528,3.1844569,14.213601,3.0190695,3.6629409e-05,10,False
730,1.6984137,14.195877,3.1724158,14.194102,3.0097848,3.969871e-05,10,False
731,1.6960903,14.179566,3.1627777,14.180258,2.996953,3.8190771e-05,10,False
732,1.6937732,14.164876,3.1553051,14.164723,2.9855863,4.2208375e-05,10,False
733,1.6914625,14.149468,3.1433167,14.146712,2.9757718,3.7890712e-05,10,False
734,1.689158,14.135929,3.1299335,14.128423,2.9720412,3.5888445e-05,10,False
735,1.6868598,14.122966,3.1220584,14.120196,2.9678875,4.0375634e-05,10,False
736,1.6845679,14.109633,3.114733,14.104351,2.9628494,4.293416e-05,10,False
737,1.6822822,14.093497,3.1105899,14.085056,2.9506095,4.1105918e-05,10,False
738,1.6800027,14.082601,3.1013739,14.06845,2.9428625,3.8984825e-05,10,False
739,1.6777293,14.06865,3.095238,14.057691,2.9331039,3.9375675e-05,10,False
740,1.6754621,14.053935,3.0913066,14.047212,2.9325501,3.5526925e-05,10,False
741,1.6732011,14.042907,3.0860339,14.031339,2.9275538,3.687637e-05,10,False
742,1.6709461,14.027196,3.0824823,14.027054,2.9226092,3.944203e-05,10,False
743,1.6686972,14.01796,3.0772942,14.016654,2.9170985,3.7923206e-05,10,False
744,1.6664543,14.004052,3.0716904,13.998048,2.9102664,3.9787738e-05,10,False
745,1.6642174,13.996409,3.0686021,13.981163,2.9149451,3.73926e-05,10,False
746,1.6619866,13.987579,3.0636445,13.976244,2.9132879,3.8834202e-05,10,False
747,1.6597617,13.975656,3.0608538,13.968615,2.9073339,3.9069612e-05,10,False
748,1.6575428,13.963396,3.0610805,13.954939,2.8980385,3.9697844e-05,10,False
749,1.6553298,13.95884,3.0525416,13.941932,2.9065529,3.9427092e-05,10,False
750,1.6531226,13.94983,3.0500158,13.936582,2.9023574,3.8904029e-05,10,False
751,1.6509214,13.939398,3.0495627,13.931835,2.8930209,3.5892821e-05,10,False
752,1.648726,13.932777,3.04531,13.918651,2.8969266,3.5916923e-05,10,False
753,1.6465365,13.925078,3.0455508,13.908301,2.8915618,4.0888751e-05,10,False
754,1.6443528,13.916256,3.0432517,13.902603,2.8898501,3.8259144e-05,10,False
755,1.6421748,13.909522,3.0386121,13.9029,2.895059,4.0485748e-05,10,False
756,1.6400026,13.905472,3.0374427,13.894024,2.8933362,3.9843295e-05,10,False
757,1.6378362,13.898609,3.0377058,13.885638,2.8863521,3.6149428e-05,10,False
758,1.6356754,13.894402,3.0345415,13.879756,2.8895809,3.7494767e-05,10,False
759,1.6335204,13.888661,3.0307656,13.874285,2.886821,3.7686606e-05,10,False
760,1.631371,13.884883,3.0289259,13.86949,2.8862165,3.7263624e-05,10,False
761,1.6292273,13.881592,3.0290345,13.867753,2.8750248,4.4692338e-05,10,False
762,1.6270892,13.877415,3.0258946,13.860737,2.877048,4.3086039e-05,10,False
763,1.6249567,13.873814,3.0268886,13.859349,2.8781721,3.9788401e-05,10,False
764,1.6228298,13.870517,3.0231563,13.852374,2.8725146,3.9886997e-05,10,False
765,1.6207085,13.868606,3.0203852,13.84877,2.8691178,4.192477e-05,10,False
766,1.6185927,13.866639,3.0176802,13.845276,2.8650778,4.0686385e-05,10,False
767,1.6164824,13.863083,3.0130062,13.841636,2.8668332,3.5814381e-05,10,False
768,1.6143776,13.861784,3.0091393,13.842278,2.8700859,3.5711221e-05,10,False
769,1.6122783,13.86378,3.0086295,13.840699,2.8632226,3.9304952e-05,10,False
770,1.6101844,13.861701,3.0042548,13.835353,2.8590624,3.9732922e-05,10,False
771,1.608096,13.858004,2.9968835,13.836527,2.8589418,4.3658415e-05,10,False
772,1.6060129,13.856123,2.9928151,13.839785,2.852392,4.2424735e-05,10,False
773,1.6039353,13.85448,2.9914398,13.842338,2.8388874,4.2539605e-05,10,False
774,1.601863,13.855856,2.9861242,13.835684,2.8385082,4.2143763e-05,10,False
775,1.5997961,13.857622,2.9791368,13.831462,2.8398172,4.0986791e-05,10,False
776,1.5977345,13.857241,2.9738693,13.835008,2.8322834,3.6714086e-05,10,False
777,1.5956782,13.855363,2.9707831,13.83322,2.8270836,3.8213258e-05,10,False
778,1.5936272,13.857908,2.9644505,13.834808,2.8226315,4.2874753e-05,10,False
779,1.5915815,13.857999,2.9571803,13.833476,2.8194489,4.1717361e-05,10,False
780,1.589541,13.858363,2.950746,13.826845,2.8147039,3.7965677e-05,10,False
781,1.5875057,13.855207,2.9461625,13.832698,2.8005297,3.8437255e-05,10,False
782,1.5854757,13.856666,2.9355348,13.826767,2.8002471,3.9874443e-05,10,False
783,1.5834508,13.862197,2.9318311,13.824123,2.7879464,4.7336686e-05,10,False
784,1.5814311,13.859878,2.9233668,13.82684,2.7776463,4.993033e-05,10,False
785,1.5794165,13.856943,2.9151947,13.825007,2.7760921,3.8412744e-05,10,False
786,1.5774071,13.856301,2.9085559,13.824853,2.7675095,3.7828297e-05,10,False
787,1.5754028,13.85647,2.9011513,13.825827,2.7562513,4.3385507e-05,10,False
788,1.5734035,13.856668,2.8896809,13.82634,2.7562927,3.9336328e-05,10,False
789,1.5714094,13.857378,2.8795343,13.823745,2.7541251,3.9968796e-05,10,False
790,1.5694202,13.856737,2.8734226,13.827394,2.7446572,3.8007544e-05,10,False
791,1.5674361,13.85528,2.8699961,13.827449,2.728399,3.7183574e-05,10,False
792,1.5654571,13.856009,2.8579313,13.825552,2.7233984,3.7755425e-05,10,False
793,1.563483,13.854619,2.8452348,13.820483,2.7218107,4.4470078e-05,10,False
794,1.5615138,13.856395,2.8340815,13.818477,2.7139198,4.4527401e-05,10,False
795,1.5595497,13.856597,2.8237471,13.81901,2.7068413,4.1753234e-05,10,False
796,1.5575904,13.855469,2.8176232,13.816943,2.6934148,3.8981594e-05,10,False
797,1.5556361,13.853104,2.8078864,13.816372,2.6810411,3.9347962e-05,10,False
798,1.5536867,13.852662,2.8005827,13.81762,2.6710418,4.6075571e-05,10,False
799,1.5517422,13.851217,2.7924098,13.813382,2.6627928,4.7820978e-05,10,False
800,1.5498025,13.849313,2.7812121,13.80814,2.6546461,4.170328e-05,10,False
801,1.5478676,13.849347,2.7733308,13.809288,2.6404314,4.2593254e-05,10,False
802,1.5459376,13.846073,2.7595008,13.809109,2.6338327,4.4489541e-05,10,False
803,1.5440124,13.84372,2.7486432,13.804427,2.6271985,4.3049487e-05,10,False
804,1.542092,13.840586,2.7433431,13.805206,2.6171883,3.9475688e-05,10,False
805,1.5401764,13.837517,2.7328319,13.802849,2.6073355,4.124645e-05,10,False
806,1.5382655,13.838143,2.7202799,13.792805,2.5994174,4.240074e-05,10,False
807,1.5363593,13.836515,2.7092315,13.789637,2.593995,3.9428823e-05,10,False
808,1.5344579,13.834045,2.6953198,13.791499,2.5885636,4.1154978e-05,10,False
809,1.5325612,13.829927,2.6883382,13.791411,2.5817922,4.4757177e-05,10,False
